CUT,comuna,n_sample,p_car
13402,BUIN,62.0,0.39204851580775824
13403,CALERA DE TANGO,53.0,0.2712511994208897
13102,CERRILLOS,64.0,0.18272606421455573
13103,CERRO NAVIA,131.0,0.4109122752725722
13301,COLINA,55.0,0.33283885542299185
13104,CONCHALI,129.0,0.2817744288250819
13105,EL BOSQUE,137.0,0.2772621174267704
13602,EL MONTE,70.0,0.2632456648585999
13106,ESTACION CENTRAL,157.0,0.4701231583306018
13107,HUECHURABA,95.0,0.29694904908967423
13108,INDEPENDENCIA,102.0,0.48098061384890756
13603,ISLA DE MAIPO,55.0,0.30161751928521013
13109,LA CISTERNA,90.0,0.2543386607927133
13110,LA FLORIDA,438.0,0.3979362886007611
13111,LA GRANJA,128.0,0.17830652806273248
13112,LA PINTANA,158.0,0.2426587324009
13113,LA REINA,120.0,0.6354060012811732
13302,LAMPA,30.0,0.09720514452907685
13114,LAS CONDES,343.0,0.6374023845307848
13115,LO BARNECHEA,52.0,0.7071929133773734
13116,LO ESPEJO,87.0,0.21984645254655302
13117,LO PRADO,122.0,0.23630921750914105
13118,MACUL,137.0,0.44692799353003726
13119,MAIPU,432.0,0.24591357396441943
13501,MELIPILLA,64.0,0.31811828198058495
13604,PADRE HURTADO,56.0,0.3265956205577463
13121,PEDRO AGUIRRE CERDA,130.0,0.333020042737219
13605,PEÑAFLOR,81.0,0.23187073983171483
13122,PEÑALOLEN,197.0,0.3619190263282487
13202,PIRQUE,50.0,0.36276732612414225
13123,PROVIDENCIA,182.0,0.7034388587867078
13124,PUDAHUEL,147.0,0.17693881341265638
13201,PUENTE ALTO,405.0,0.2082840911432723
13125,QUILICURA,142.0,0.22345383504767355
13126,QUINTA NORMAL,177.0,0.31652114455304203
13127,RECOLETA,168.0,0.3384111630596476
13128,RENCA,105.0,0.16277779005747742
13401,SAN BERNARDO,277.0,0.2889542740283037
13129,SAN JOAQUIN,155.0,0.2565629422979297
13130,SAN MIGUEL,109.0,0.2732917134575531
13131,SAN RAMON,92.0,0.3772280187181301
13101,SANTIAGO,312.0,0.41130579908872805
13601,TALAGANTE,78.0,0.5441484551369646
13132,VITACURA,80.0,0.8317280362123183
13120,ÑUÑOA,266.0,0.39417433683655667
