day,purpose,n,mean_h,p10,p25,median,p75,p90,share_after_12,share_12_17
weekday_normal,all outbound,2362,13.495897314450847,9.25,10.5,12.5,17.0,18.183333333333334,0.5884173551343342,0.29226884013265836
weekday_normal,health,108,10.884205922269217,7.5,8.5,10.0,12.25,15.75,0.2906259820144007,0.22047488290747647
weekday_normal,shopping/errands,1588,13.570250260719291,10.0,10.5,12.0,17.0,18.0,0.584341117334483,0.2659541734030458
weekday_normal,social/recreation,254,15.067144387273597,10.0,12.0,15.5,18.0,19.5,0.7833321498530539,0.42148836489555186
weekday_normal,return home,2062,14.797423061513488,10.5,11.666666666666666,14.0,18.0,19.333333333333332,0.7272738652432251,0.33367889999437994
weekday_summer,all outbound,403,13.047074268607986,9.0,10.0,12.0,17.0,18.333333333333332,0.5205997922593086,0.2552455292145154
weekday_summer,health,25,10.6101380343756,7.0,9.0,10.0,11.0,18.0,0.16765180627780987,0.04191295156945247
weekday_summer,shopping/errands,295,13.252182387580039,10.0,10.5,12.0,17.0,18.0,0.5470322270057754,0.2684195399593557
weekday_summer,social/recreation,50,14.355794771967426,9.0,11.0,14.333333333333334,18.75,20.5,0.6344791507366806,0.26607190192183383
weekday_summer,return home,355,14.451680511588117,10.333333333333334,11.416666666666666,13.166666666666666,18.0,19.75,0.6697583437510914,0.32498822587078285
