h,weekday_normal,weekday_summer
4,0.0008621499708927974,0.0
5,0.0,0.0025271834575694594
6,0.005323222199627254,0.011702800732824509
7,0.023954499898322643,0.019504667888040846
8,0.03313418455613302,0.031207468620865358
9,0.06379909784606701,0.07076113681194486
10,0.15777344467338192,0.18953875931770944
11,0.12673604572124123,0.15415819091173702
12,0.11294164618695646,0.12635917287847298
13,0.05345329819535344,0.05307085260895865
14,0.0323306239084799,0.025271834575694593
15,0.04526287347187186,0.025271834575694593
16,0.048280398369996654,0.025271834575694593
17,0.11940777096865245,0.08592423755736162
18,0.10561337143436768,0.09856015484520891
19,0.042676423559193474,0.045489302236250265
20,0.016811924432409548,0.02779901803326405
21,0.006035049796249582,0.005054366915138919
22,0.004310749854463987,0.0025271834575694594
23,0.0012932249563391961,0.0
