vuln_group,auto,dist,walk,w,prop
media,sin auto,2350.732575310301,False,0.817907347175127,Buscar o Dejar a alguien
media,sin auto,2350.732575310301,False,1.0,Buscar o Dejar a alguien
alta,con auto,7448.518812554384,False,1.0,Trámites
alta,con auto,7448.518812554384,False,1.0,Trámites
media,con auto,6783.758139347545,False,1.0,Trámites
alta,sin auto,5865.094853506207,False,1.0,De salud
alta,sin auto,8000.6471623614025,False,1.42042823117339,De salud
media,sin auto,5201.036943260089,False,1.0,Trámites
alta,sin auto,197.64663267116393,True,1.48210391383712,De compras
media,sin auto,7899.831941015522,False,1.12721985301036,Trámites
alta,sin auto,445.8448101375214,True,1.48210391383712,De compras
media,sin auto,988.4881310143537,True,1.48210391383712,De compras
baja,con auto,5080.99766910757,False,1.0,De compras
media,sin auto,2582.888584216625,False,1.0,De compras
media,sin auto,714.2033265125293,False,1.14387994007037,De compras
media,sin auto,2582.888584216625,False,1.0,De compras
media,sin auto,714.2033265125293,False,1.14387994007037,De compras
baja,con auto,6915.076075777407,False,1.12721985301036,Trámites
media,sin auto,9355.938426884619,False,0.817907347175127,De salud
alta,sin auto,430.6814923485365,True,1.48210391383712,De compras
media,sin auto,2651.6959085472545,False,1.0,Trámites
media,sin auto,8643.347836134228,False,1.48210391383712,De compras
media,sin auto,2017.4206306510703,False,1.14387994007037,De compras
media,sin auto,2857.6912036861154,False,1.0,De compras
alta,con auto,11951.398372680078,False,1.5058778792911116,De salud
alta,sin auto,7516.841002718911,False,0.817907347175127,De salud
alta,sin auto,1534.767624155608,True,1.48210391383712,De compras
alta,sin auto,9007.86343291108,False,1.0,De compras
alta,sin auto,4202.861811927231,False,1.0,De compras
alta,sin auto,3124.603694870759,False,1.48210391383712,Trámites
alta,con auto,216.0364575171573,True,1.48210391383712,Recreación
alta,sin auto,119.26539880268082,True,1.48210391383712,De compras
alta,sin auto,5153.706324472345,False,1.0,De salud
alta,con auto,616.458433310795,False,1.48210391383712,Visitar a alguien
media,sin auto,715.6710820315783,False,1.48210391383712,De compras
alta,con auto,5402.802588793761,False,1.0,De salud
alta,con auto,3542.8563347656454,False,1.0,De compras
alta,con auto,17898.8767524669,False,1.0,Visitar a alguien
alta,sin auto,1142.1565954266352,False,1.0,Trámites
media,sin auto,11455.782661123869,False,1.0,Trámites
media,sin auto,4407.63260045855,False,1.0,Trámites
media,sin auto,11041.261183199364,False,1.0,De compras
media,sin auto,9823.288820451122,False,1.0,De compras
alta,con auto,8597.492505994116,False,1.48210391383712,De compras
media,sin auto,1644.3431371034035,False,1.0,De compras
media,sin auto,776.7576848519508,False,1.0,De compras
alta,sin auto,6348.409868033023,False,1.12721985301036,De salud
alta,sin auto,7604.765842261351,False,1.12721985301036,Trámites
alta,sin auto,309.5109044928789,True,1.48210391383712,Visitar a alguien
alta,con auto,2639.4626465438,False,1.0,De compras
alta,sin auto,5965.596045061345,False,1.0,De compras
alta,sin auto,7436.942838965421,False,1.0,De compras
alta,sin auto,541.5544755608618,False,1.48210391383712,De compras
alta,sin auto,2934.8514868728876,False,1.48210391383712,Trámites
baja,sin auto,11688.666755264478,False,1.12721985301036,De compras
alta,con auto,6310419.2754932,True,1.48210391383712,Trámites
alta,sin auto,612.3967395419104,False,1.48210391383712,De compras
alta,sin auto,8234.785301506898,False,1.48210391383712,De compras
alta,sin auto,6310152.876040071,True,1.14387994007037,Buscar o dejar algo
media,sin auto,6969.925995224501,False,1.0,Trámites
media,sin auto,3077.729936576632,False,1.48210391383712,De compras
media,sin auto,9597.261980200476,False,0.817907347175127,De salud
alta,sin auto,1553.8037453621878,True,1.48210391383712,Trámites
alta,sin auto,2308.448925448915,False,1.0,Visitar a alguien
alta,con auto,3761.8113771046606,False,1.0,Trámites
alta,con auto,6508.555798863067,False,1.0,De salud
alta,con auto,9796.018737102142,False,1.0,De compras
alta,con auto,6952.5129663921925,False,1.0,De compras
alta,sin auto,774.6644838250944,False,1.0,Recreación
media,sin auto,405.64348956318776,True,1.48210391383712,Visitar a alguien
media,sin auto,405.64348956318776,True,1.48210391383712,Visitar a alguien
alta,con auto,971.1444646853847,True,1.48210391383712,Buscar o dejar algo
