hour,T_shape,RH_shape,Rs_shape,T_shape_sd
0,0.19865220140587836,0.7244684689053211,0.0,0.07301660665838407
1,0.15113232028085244,0.7854750626192696,0.0,0.06925531852062229
2,0.11375963458952114,0.8375861750677339,0.0,0.06388704286722173
3,0.08152662841847287,0.8788535323136695,0.0,0.05559694253388092
4,0.06070298895131995,0.9024757526287132,0.0,0.04357911376346733
5,0.04283674146053825,0.924062953425596,0.0,0.036261440820678115
6,0.027185779160807635,0.9415082052585274,0.0,0.031455684277139254
7,0.019761625471167152,0.9508182779166212,0.0024868465864310695,0.033363620439591526
8,0.08986208039485526,0.8528747500779352,0.06941581754836451,0.05361465893617911
9,0.22354568801663,0.7034999672626474,0.2513196172605233,0.07148565539390231
10,0.3804331880575376,0.5316947302181145,0.464025334957602,0.07439828865633477
11,0.5582404205924331,0.35285898740328087,0.6642681226746641,0.07021260392580725
12,0.7212507505475138,0.21015105293409375,0.8298445349442527,0.06370923930540187
13,0.8508359580478931,0.10659214297265988,0.9445683652312231,0.05135188897992714
14,0.936936520803867,0.051133896866448106,0.9985369249634816,0.03547718909046669
15,0.9819652365741618,0.02783514845188874,0.9875053192829958,0.019734422932919382
16,0.9895387692193301,0.03208870434651045,0.9116392820604199,0.022307480313122772
17,0.9592483014050468,0.055432997645951075,0.777561084936465,0.04254928213034177
18,0.8827636664888091,0.11190965326631475,0.6017954312566591,0.06329049137188049
19,0.7621471825333477,0.20336411318031172,0.3956522561910347,0.08564723523768385
20,0.6081459235039877,0.3305434233281087,0.18517539254436471,0.10528413670311611
21,0.4590917914642222,0.4888761136018987,0.028335675855288303,0.10817728769374847
22,0.34882775954907785,0.6124848077489085,0.0,0.12206755106079953
23,0.267484368898972,0.7081049118321338,0.0,0.12672199745705529
