h,wind_10m,wind_p25,wind_p75,pressure_hpa
0,1.2136760925449872,0.9,1.49,950.4349614395887
1,0.9270437017994859,0.58,1.22,950.0835475578406
2,0.7573778920308484,0.41,1.04,949.5478149100256
3,0.7717223650385604,0.41,1.0,948.9796915167094
4,0.7962467866323908,0.41,1.12,948.6023136246787
5,0.828508997429306,0.45,1.12,948.3879177377893
6,0.862159383033419,0.47,1.2,948.4365038560411
7,0.911413881748072,0.5,1.24,948.7192802056555
8,0.752904884318766,0.47,0.99,949.3179948586119
9,0.8915938303341902,0.6,1.12,950.2712082262211
10,1.1603084832904884,0.9,1.46,950.7105398457584
11,1.5538817480719795,1.22,1.84,950.9537275064267
12,2.2846015424164525,1.88,2.64,951.1002570694087
13,2.999280205655527,2.47,3.5,951.0832904884319
14,3.668457583547558,3.05,4.25,950.9300771208226
15,4.125192802056556,3.56,4.65,950.7349614395888
16,4.393598971722365,3.77,4.91,950.3992287917738
17,4.552904884318766,3.98,5.19,950.0169665809768
18,4.584755784061697,3.94,5.16,949.6992287917737
19,4.2815167095115685,3.78,4.74,949.5300771208226
20,3.433650385604113,2.98,3.97,949.6069408740359
21,2.5818508997429306,2.03,3.04,949.7005141388174
22,2.0459125964010285,1.58,2.45,949.8925449871466
23,1.5531876606683805,1.2,1.84,950.0647814910026
