anio,comuna,provincia,rubro,n_emp,n_trab
2024,Santiago,Santiago,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,27470,106042
2024,Recoleta,Santiago,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,5701,12396
2024,Independencia,Santiago,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,2636,7345
2024,Quinta Normal,Santiago,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,3225,8704
2024,Maipú,Santiago,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,9759,19866
2024,Pudahuel,Santiago,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,4489,23386
2024,Renca,Santiago,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,2749,10283
2024,Quilicura,Santiago,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,4470,101449
2024,Conchalí,Santiago,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,2435,11297
2024,Lo Prado,Santiago,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1515,764
2024,Cerro Navia,Santiago,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,2384,1706
2024,Estación Central,Santiago,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,3641,9850
2024,Huechuraba,Santiago,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,2426,58063
2024,Cerrillos,Santiago,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1818,10582
2024,Colina,Chacabuco,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,3428,8283
2024,Lampa,Chacabuco,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,3441,13891
2024,Titil,Chacabuco,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,547,885
2024,Talagante,Talagante,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,2016,3212
2024,Isla de Maipo,Talagante,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,916,1930
2024,El Monte,Talagante,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,732,780
2024,Peñaflor,Talagante,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,2094,2313
2024,Padre Hurtado,Talagante,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1826,3587
2024,Melipilla,Melipilla,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,3620,5337
2024,María Pinto,Melipilla,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,324,281
2024,Curacaví,Melipilla,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1004,685
2024,San Pedro,Melipilla,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,306,491
2024,Alhué,Melipilla,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,124,69
2024,Providencia,Santiago,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,18635,66058
2024,Ñuñoa,Santiago,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,5637,16793
2024,Las Condes,Santiago,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,15214,171477
2024,La Florida,Santiago,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,6967,13557
2024,La Reina,Santiago,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1832,5272
2024,Macul,Santiago,G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,2716,8945
